Umsatzanzeige;Datei erstellt am: 01.03.2026 08:00

IBAN;DE89 3704 0044 0532 0130 00
Kontoname;Girokonto
Bank;ING
Kunde;Erika Mustermann
Zeitraum;01.02.2026 - 28.02.2026
Saldo;-352,76;EUR

Sortierung;Erstbuchungsdatum, absteigend
Ihre Umsaetze im angegebenen Zeitraum

Buchung;Wertstellungsdatum;Auftraggeber/Empfaenger;Buchungstext;Verwendungszweck;Saldo;Waehrung;Betrag;Waehrung
02.02.2026;02.02.2026;PayPal Europe S.a.r.l.;Lastschrift;PP.MUSTER.003 Einkauf;-2081,12;EUR;-65,00;EUR
02.02.2026;02.02.2026;Energie Solar GmbH;Lastschrift;INV01575371;-2016,12;EUR;-138,97;EUR
01.02.2026;01.02.2026;Schnellrestaurant Muster;Lastschrift;KAUFUMSATZ 01.02;-1877,15;EUR;-12,59;EUR
01.02.2026;01.02.2026;Imbiss Musterstadt;Lastschrift;KAUFUMSATZ 01.02;-1864,56;EUR;-11,50;EUR
01.02.2026;01.02.2026;Mobilfunk 2 GmbH;Lastschrift;SIM24 Rechnung;-1853,06;EUR;-15,06;EUR
01.02.2026;01.02.2026;Finanzamt Musterstadt;Gutschrift;Erstattung USt;-1838,00;EUR;14,00;EUR
01.02.2026;01.02.2026;Bausparkasse Muster AG;Lastschrift;Sparrate 02/2026;-1852,00;EUR;-50,00;EUR
01.02.2026;01.02.2026;Telekom Muster GmbH;Lastschrift;Festnetz 02/2026;-1802,00;EUR;-74,95;EUR
01.02.2026;01.02.2026;Biokiste Muster GmbH;Lastschrift;Rechnung 02/2026;-1727,05;EUR;-48,06;EUR
01.02.2026;01.02.2026;Gemuese Lieferservice;Lastschrift;Rechnung Nr. 464053;-1678,99;EUR;-36,42;EUR
01.02.2026;01.02.2026;PayPal Europe S.a.r.l.;Lastschrift;PP.MUSTER.004 Einkauf;-1642,57;EUR;-13,95;EUR
01.02.2026;01.02.2026;PayPal Europe S.a.r.l.;Lastschrift;PP.MUSTER.005 Einkauf;-1628,62;EUR;-3,50;EUR
01.02.2026;01.02.2026;Mustermann M.;Ueberweisung;FMT 01.02.2026;-1625,12;EUR;800,00;EUR
01.02.2026;01.02.2026;Ratenzahlung Bank;Lastschrift;Ratenzahlung 01/2026;-2425,12;EUR;-78,73;EUR
01.02.2026;01.02.2026;Ratenzahlung Bank;Lastschrift;Ratenzahlung 02/2026;-2346,39;EUR;-36,95;EUR
01.02.2026;01.02.2026;PayPal Europe S.a.r.l.;Lastschrift;PP.MUSTER.006 Einkauf;-2309,44;EUR;-512,50;EUR
01.02.2026;01.02.2026;Coaching Praxis Muster;Ueberweisung;Coaching Sitzung;-1796,94;EUR;-100,00;EUR
01.02.2026;01.02.2026;Grundschule Musterstadt;Ueberweisung;Beitrag;-1696,94;EUR;-30,00;EUR
01.02.2026;01.02.2026;Mustermann M.;Dauerauftrag;Tierkonto;-1666,94;EUR;-115,00;EUR
01.02.2026;01.02.2026;Supermarkt E-Center Muster;Lastschrift;KAUFUMSATZ 31.01;-1551,94;EUR;-36,30;EUR
01.02.2026;01.02.2026;PayPal Europe S.a.r.l.;Lastschrift;PP.MUSTER.007 Einkauf;-1515,64;EUR;-6,78;EUR
01.02.2026;01.02.2026;Musik Streaming GmbH;Lastschrift;Abo 02/2026;-1508,86;EUR;-13,00;EUR
01.02.2026;01.02.2026;PayPal Europe S.a.r.l.;Lastschrift;PP.MUSTER.008 Einkauf;-1495,86;EUR;-54,00;EUR
01.02.2026;01.02.2026;Rundfunkanstalt Beitragsservice;Lastschrift;Rundfunkbeitrag 01-12.2026;-1441,86;EUR;-220,32;EUR
01.02.2026;01.02.2026;PayPal Europe S.a.r.l.;Lastschrift;PP.MUSTER.009 Einkauf;-1221,54;EUR;-53,57;EUR
01.02.2026;01.02.2026;Mustermann E.;Ueberweisung;Privatdarlehen Rueckzahlung;-1167,97;EUR;1.300,00;EUR
